title,overview,genre_list,crew_list,cast_list,original_language,comp_list,comb
Despicable Me 3,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",Animation Adventure Comedy ,Kyle Balda,Pierre Coffin Eric Guillon Steve Carell Kristen Wiig Trey Parker Miranda Cosgrove,en,unknown,Animation Adventure Comedy Pierre Coffin Eric Guillon Steve Carell Kristen Wiig Trey Parker Miranda CosgroveKyle Baldaen
A Ghost Story,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",Drama Fantasy Romance ,David Lowery,Casey Affleck Rooney Mara McColm Cephas Jr. Kenneisha Thompson,en,unknown,Drama Fantasy Romance Casey Affleck Rooney Mara McColm Cephas Jr. Kenneisha ThompsonDavid Loweryen
The Boss Baby,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",Animation Adventure Comedy ,Tom McGrath,Alec Baldwin Steve Buscemi Jimmy Kimmel Lisa Kudrow,en,unknown,Animation Adventure Comedy Alec Baldwin Steve Buscemi Jimmy Kimmel Lisa KudrowTom McGrathen
The Mountain Between Us,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",Action Adventure Drama ,Hany Abu-Assad,Kate Winslet Idris Elba Beau Bridges Dermot Mulroney,en,unknown,Action Adventure Drama Kate Winslet Idris Elba Beau Bridges Dermot MulroneyHany Abu-Assaden
The Snowman,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,Crime Drama Mystery ,Tomas Alfredson,Michael Fassbender Rebecca Ferguson Charlotte Gainsbourg Jonas Karlsson,en,unknown,Crime Drama Mystery Michael Fassbender Rebecca Ferguson Charlotte Gainsbourg Jonas KarlssonTomas Alfredsonen
Unlocked,A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.,Action Drama Mystery ,Michael Apted,Noomi Rapace Orlando Bloom Toni Collette John Malkovich,en,unknown,Action Drama Mystery Noomi Rapace Orlando Bloom Toni Collette John MalkovichMichael Apteden
Jigsaw,"Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.",Crime Horror Mystery ,Michael Spierig,Peter Spierig Matt Passmore Tobin Bell Callum Keith Rennie Hannah Emily Anderson,en,unknown,Crime Horror Mystery Peter Spierig Matt Passmore Tobin Bell Callum Keith Rennie Hannah Emily AndersonMichael Spierigen
The Man with the Iron Heart,"As the German Fascists expand their borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare for a suicide mission to assassinate Reinhard Heydrich, the hideous mastermind behind the ""Final Solution"".",Action Biography Thriller ,Cédric Jimenez,Jason Clarke Rosamund Pike Jack O'Connell Jack Reynor,en,unknown,Action Biography Thriller Jason Clarke Rosamund Pike Jack O'Connell Jack ReynorCédric Jimenezen
xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",Action Adventure Thriller ,D.J. Caruso,Vin Diesel Donnie Yen Deepika Padukone Kris Wu,en,unknown,Action Adventure Thriller Vin Diesel Donnie Yen Deepika Padukone Kris WuD.J. Carusoen
The Lego Batman Movie,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",Animation Action Comedy ,Chris McKay,Will Arnett Michael Cera Rosario Dawson Ralph Fiennes,en,unknown,Animation Action Comedy Will Arnett Michael Cera Rosario Dawson Ralph FiennesChris McKayen
